"Product_ID","Product_Name","Product_Description","Weight","Price"
"PR00088","Advanced Headphones","Versatile use",15.59,418.36
"PR00089","Slim Laptop","Compact design",4.64,898.88
"PR00090","Vintage Smart Glasses","Energy efficient",1.26,13.24
"PR00091","High-Resolution VR Headset","Versatile use",8.62,377.88
"PR00092","Portable Power Bank","Ergonomic",1.36,82.76
"PR00093","Dual-Screen Headphones","Energy efficient",16.89,617.31
"PR00094","Heavy-Duty Laptop","Ergonomic",18.52,896.6
"PR00095","Premium Printer","Sleek and modern",5.07,22.55
"PR00096","Foldable Recorder","Eco-friendly",11.32,742.67
"PR00097","Foldable Earbuds","High quality",1.98,745.61
"PR00098","Magnetic External Hard Drive","Innovative technology",7.4,140.91
"PR00099","Eco Smart Speaker","Innovative technology",15.43,130.84
"PR00100","HD Keyboard","Energy efficient",7.39,269.2
"PR00101","Sleek Recorder","User-friendly",15.89,681.53
"PR00102","Ergonomic Gaming Chair","Energy efficient",4.82,63.91
"PR00103","High-Resolution Router","Energy efficient",10.26,866.63
"PR00104","Gaming Tablet","Durable",12.34,81.68
"PR00105","Foldable VR Headset","Durable",18.16,779.87
"PR00106","Eco Earbuds","Versatile use",2.25,961.87
"PR00107","Retro Desk Lamp","Durable",11.85,772.02
"PR00108","Eco Smart Glasses","Durable",8.92,543.52
"PR00109","High-Performance Smartphone","Ergonomic",16.16,873.11
"PR00110","Dual-Screen Recorder","Ergonomic",17.61,282.34
"PR00111","Heavy-Duty Router","Compact design",3.15,379.89
"PR00112","Ultra Smart Glasses","High quality",5.24,687.89
"PR00113","Pro Recorder","Versatile use",4.29,172.29
"PR00114","Compact VR Headset","High quality",3.94,82.75
"PR00115","SD Recorder","Innovative technology",5.92,102.79
"PR00116","Budget Headphones","Innovative technology",2.58,355.63
"PR00117","High-Speed eReader","High quality",16.74,976.88
"PR00118","High-Speed Monitor","Innovative technology",3.88,795.13
"PR00119","Eco Printer","Compact design",9.11,99.37
"PR00120","Vintage Smartphone","Energy efficient",17.24,660.24
"PR00121","Magnetic Tablet","Durable",18.03,718.03
"PR00122","Budget Smart Speaker","Energy efficient",13.47,119.3
"PR00123","Smart Gaming Chair","User-friendly",16.68,939.38
"PR00124","Noise-Cancelling Nintendo","User-friendly",19.14,153.22
"PR00125","Heavy-Duty Keyboard","Compact design",4.25,307.42
"PR00126","Budget Headphones","Sleek and modern",2.95,957.79
"PR00127","Dual-Screen Nintendo","Sleek and modern",19.78,883.89
"PR00128","Portable VR Headset","Energy efficient",9.35,971.65
"PR00129","SD Recorder","Eco-friendly",11.32,723.33
"PR00130","Multi-Function Nintendo","User-friendly",2.39,183.84
"PR00131","High-Resolution Smart Glasses","Compact design",3.6,726.81
"PR00132","Waterproof Action Cam","Versatile use",3.83,51.21
"PR00133","Portable Laptop","Versatile use",8.54,172.77
"PR00134","Portable Recorder","Eco-friendly",2.89,453.32
"PR00135","HD Drone","Innovative technology",5.22,717.95
"PR00136","Rugged Camera","High quality",17.46,218.32
"PR00137","Noise-Cancelling Laptop","Sleek and modern",6.94,65.44
"PR00138","Rugged Nintendo","High quality",8.59,584
"PR00139","Touch Camera","Innovative technology",11.44,458.98
"PR00140","Smart Headphones","Eco-friendly",2,545.67
"PR00141","Budget Mouse","Innovative technology",14.49,225.68
"PR00142","Foldable Smartwatch","Eco-friendly",6.55,920.22
"PR00143","Ultra Drone","Compact design",18.7,343.16
"PR00144","Magnetic Action Cam","User-friendly",19.88,155.2
"PR00145","Premium Router","Eco-friendly",11.52,46.13
"PR00146","Smart Smartphone","Sleek and modern",7.36,196.45
"PR00147","Eco Printer","Innovative technology",13.45,751.94
"PR00148","Foldable Smartwatch","Sleek and modern",10.02,754.5
"PR00149","Ergonomic Drone","Ergonomic",9.05,880.76
"PR00150","Heavy-Duty Router","Compact design",8.06,440.29
"PR00151","SD Camera","Versatile use",8.68,559.61
"PR00152","Mini Router","Versatile use",11.65,157.12
"PR00153","SD Smart Speaker","Energy efficient",9.67,662.65
"PR00154","Lite Keyboard","Versatile use",1.37,882.51
"PR00155","Wireless Monitor","Versatile use",14.72,76.52
"PR00156","Dual-Screen Earbuds","Innovative technology",12.75,136.7
"PR00157","Smart External Hard Drive","Eco-friendly",7.1,964.33
"PR00158","Retro Smart Glasses","Energy efficient",9.54,735.27
"PR00159","Mini VR Headset","Versatile use",15.3,638.69
"PR00160","Budget Action Cam","User-friendly",4.66,684.73
"PR00161","HD Power Bank","Ergonomic",5.3,621.96
"PR00162","Lite Smartphone","Energy efficient",10.69,586.15
"PR00163","Noise-Cancelling Headphones","High quality",16.04,231.46
"PR00164","Dual-Screen Action Cam","High quality",17.84,261.96
"PR00165","SD Recorder","Energy efficient",19.77,30.47
"PR00166","High-Speed Smart Glasses","Durable",1.24,707
"PR00167","Ergonomic Desk Lamp","Sleek and modern",12.1,671.78
"PR00168","Multi-Function Monitor","Eco-friendly",18.76,567.75
"PR00169","Pro Console","Versatile use",19.73,188.76
"PR00170","Noise-Cancelling eReader","Ergonomic",3.08,34.58
"PR00171","Ultra-Light Desk Lamp","Eco-friendly",14.59,238.36
"PR00172","High-Resolution Smart Glasses","Sleek and modern",3.32,892.62
"PR00173","Noise-Cancelling Monitor","User-friendly",5.48,995.92
"PR00174","Pro Printer","Ergonomic",15.7,71.95
"PR00175","AI-Powered Fitness Tracker","Durable",1.5,530.42
"PR00176","AI-Powered Desk Lamp","Durable",3.43,162.99
"PR00177","Vintage Desk Lamp","Eco-friendly",9.08,370.72
"PR00178","Wireless Recorder","Sleek and modern",1.25,441.83
"PR00179","Sleek Console","High quality",1.26,344.86
"PR00180","SD Console","Ergonomic",3.88,749.36
"PR00181","Smart Console","Innovative technology",19.34,448.91
"PR00182","High-Speed Drone","User-friendly",17.68,514.68
"PR00183","Ergonomic Printer","Versatile use",15.29,780.5
"PR00184","Ultra-Light Camera","Energy efficient",10.87,994.26
"PR00185","Sleek Camera","Innovative technology",15.81,389.01
"PR00186","Magnetic VR Headset","Ergonomic",15.53,411
"PR00187","Slim VR Headset","Versatile use",1.52,21.41
"PR00188","Retro Smart Glasses","Eco-friendly",4.69,424.32
"PR00189","Advanced eReader","Sleek and modern",1.36,164.89
"PR00190","HD VR Headset","Ergonomic",16.41,148.91
"PR00191","Noise-Cancelling Console","User-friendly",13.75,620.2
"PR00192","Eco Nintendo","High quality",4.84,916.08
"PR00193","Smart Drone","Eco-friendly",9.61,615.36
"PR00194","Ultra-Light Tablet","Sleek and modern",13.21,704.25
"PR00195","Ultra-Light Recorder","Eco-friendly",14.73,975.78
"PR00196","AI-Powered Tablet","Durable",10.35,175.69
"PR00197","Magnetic External Hard Drive","Energy efficient",2.42,246.83
"PR00198","SE External Hard Drive","User-friendly",9.93,236.1
"PR00199","Waterproof Smart Glasses","Ergonomic",6.59,923.05
"PR00200","Foldable Recorder","High quality",8.41,276.26
"PR00201","Heavy-Duty Drone","Durable",19.94,152.89
"PR00202","Touch Smart Glasses","Innovative technology",18.15,262.54
"PR00203","Ultra Console","Versatile use",3.47,145.6
"PR00204","High-Speed Recorder","Eco-friendly",18.43,910.6
"PR00205","Magnetic Gaming Chair","High quality",3.08,736.16
"PR00206","Ultra Mouse","Durable",16.88,430.96
"PR00207","Portable Smart Glasses","High quality",1.07,992.02
"PR00208","Heavy-Duty Console","Innovative technology",5.41,665.64
"PR00209","Ultra VR Headset","Eco-friendly",1.2,396.96
"PR00210","Rugged Monitor","Ergonomic",0.96,960.32
"PR00211","High-Speed Drone","User-friendly",9.49,167.11
"PR00212","Wireless Nintendo","Ergonomic",7.31,922.45
"PR00213","High-Resolution Earbuds","Eco-friendly",14.95,925.17
"PR00214","Ergonomic External Hard Drive","Versatile use",0.82,535.93
"PR00215","High-Performance eReader","Ergonomic",15.26,955.49
"PR00216","Compact External Hard Drive","User-friendly",8.48,577.43
"PR00217","Wireless Console","Ergonomic",7.91,88.62
"PR00218","Touch Smart Glasses","User-friendly",15.68,163.83
"PR00219","Vintage Console","Sleek and modern",6.52,896.21
"PR00220","Pro Camera","High quality",13.6,696.26
"PR00221","Advanced Tablet","Ergonomic",5.68,352.71
"PR00222","Advanced Desk Lamp","Sleek and modern",3.05,824.82
"PR00223","Ergonomic Router","Energy efficient",12.5,432.88
"PR00224","Magnetic Keyboard","Innovative technology",5.95,356.1
"PR00225","Compact Earbuds","Compact design",12.98,917.98
"PR00226","Rugged Power Bank","Eco-friendly",7.19,769.98
"PR00227","Mini Router","Durable",18.3,391.16
"PR00228","Ergonomic Smartphone","Versatile use",4.1,101.46
"PR00229","Mini Keyboard","Versatile use",11.21,528.83
"PR00230","AI-Powered Gaming Chair","Versatile use",6.96,281.11
"PR00231","Rugged Headphones","User-friendly",12.64,676.88
"PR00232","Waterproof Console","Durable",19.42,31.5
"PR00233","Ultra-Light Printer","Versatile use",5.58,827.35
"PR00234","Solar Monitor","Durable",12.09,225.48
"PR00235","Noise-Cancelling Router","Durable",11.24,469.99
"PR00236","Wireless Monitor","Sleek and modern",7.29,180.69
"PR00237","Touch eReader","Sleek and modern",13.44,561.71
"PR00238","Advanced Tablet","Eco-friendly",19.86,919.75
"PR00239","Rugged Recorder","Energy efficient",3.09,413.17
"PR00240","SE eReader","Energy efficient",15.54,41.89
"PR00241","HD Smart Speaker","Durable",12.05,951.25
"PR00242","Compact Smartphone","Durable",13.34,360.32
"PR00243","Compact eReader","Ergonomic",5.52,881.72
"PR00244","Foldable Smartwatch","Compact design",9.45,470.67
"PR00245","Noise-Cancelling External Hard Drive","Ergonomic",6.3,880.13
"PR00246","AI-Powered Keyboard","User-friendly",10.61,592.02
"PR00247","Rugged Earbuds","User-friendly",13.97,596.94
"PR00248","Pro Smartwatch","Ergonomic",17.36,690.34
"PR00249","Touch Smartwatch","Innovative technology",14.54,975.57
"PR00250","Wireless VR Headset","Eco-friendly",17.3,926.12
"PR00251","SE Power Bank","User-friendly",15.32,920.59
"PR00252","Wireless Desk Lamp","User-friendly",16.78,859.43
"PR00253","Eco Smartwatch","Innovative technology",13.37,26.38
"PR00254","Eco Smart Speaker","Energy efficient",15.13,590.22
"PR00255","Eco Recorder","Sleek and modern",6.92,82.5
"PR00256","Premium Console","Ergonomic",14.32,312.08
"PR00257","Pro Printer","Innovative technology",16.75,355.94
"PR00258","Mini Recorder","Ergonomic",8.95,292.41
"PR00259","Waterproof External Hard Drive","High quality",17.93,923.7
"PR00260","Noise-Cancelling Smart Glasses","Ergonomic",15.21,115.42
"PR00261","Slim Earbuds","Compact design",16.58,964.76
"PR00262","Retro Mouse","Versatile use",7.52,435.71
"PR00263","Magnetic Monitor","User-friendly",16.56,175.3
"PR00264","SD Desk Lamp","Versatile use",6.24,682.99
"PR00265","Ultra Desk Lamp","Versatile use",12.81,206.22
"PR00266","Smart Smart Speaker","Eco-friendly",16.79,500.44
"PR00267","Foldable Tablet","Eco-friendly",9.75,93.52
"PR00268","Compact VR Headset","High quality",3.68,580
"PR00269","Rugged Console","Versatile use",13.06,209.67
"PR00270","Eco Router","Eco-friendly",9.39,426.25
"PR00271","Budget External Hard Drive","Durable",13.8,91.45
"PR00272","Premium Router","Sleek and modern",13.35,190.4
"PR00273","Pro Printer","Ergonomic",5.41,878.42
"PR00274","Retro Router","Ergonomic",3.21,528.23
"PR00275","Sleek Keyboard","Energy efficient",4.11,825.61
"PR00276","Gaming Monitor","High quality",6.93,364.96
"PR00277","Compact Smartphone","Ergonomic",14.81,442.93
"PR00278","SE VR Headset","Ergonomic",10.48,461.87
"PR00279","Vintage Earbuds","Sleek and modern",3.33,564.2
"PR00280","Budget Action Cam","Versatile use",14.02,940.21
"PR00281","Foldable Tablet","Ergonomic",13.8,862.2
"PR00282","Multi-Function Console","Sleek and modern",18.2,718.89
"PR00283","Magnetic Console","Versatile use",12.13,496.56
"PR00284","Dual-Screen Mouse","Durable",1.69,990.36
"PR00285","Waterproof Gaming Chair","Innovative technology",11.44,624.88
"PR00286","SD VR Headset","Eco-friendly",19.49,678.62
"PR00287","Sleek External Hard Drive","Versatile use",1.98,254.1
"PR00288","Retro External Hard Drive","Energy efficient",4.64,640.34
"PR00289","Pro Nintendo","High quality",15.04,557.21
"PR00290","Dual-Screen Action Cam","High quality",17.37,842.21
"PR00291","AI-Powered Nintendo","Ergonomic",5.22,31.94
"PR00292","Portable VR Headset","Compact design",6.9,64.67
"PR00293","Touch Recorder","Energy efficient",16.39,292.76
"PR00294","Eco Smartphone","User-friendly",4.81,663.15
"PR00295","Smart Smart Glasses","Versatile use",7.32,554.97
"PR00296","Mini Smartphone","Innovative technology",1.21,83.59
"PR00297","SD Fitness Tracker","Ergonomic",19.71,954.69
"PR00298","Magnetic Smart Speaker","Sleek and modern",6.88,730.88
"PR00299","Lite Gaming Chair","Versatile use",15.73,722.43
"PR00300","Wireless Fitness Tracker","Durable",19.7,554.16
"PR00301","Vintage Drone","User-friendly",19.66,422.98
"PR00302","SE Drone","Eco-friendly",13.73,850.43
"PR00303","High-Performance Nintendo","Innovative technology",6.2,256.06
"PR00304","Multi-Function Headphones","Ergonomic",0.59,390.63
"PR00305","Advanced Monitor","Ergonomic",5.35,182.26
"PR00306","Multi-Function Gaming Chair","Energy efficient",11.57,107.62
"PR00307","Wireless Laptop","High quality",18.35,835.22
"PR00308","Sleek Smart Glasses","Ergonomic",5.9,980.21
"PR00309","Retro Monitor","Energy efficient",19.27,579.41
"PR00310","Ultra Camera","Sleek and modern",13.73,697.67
"PR00311","Ultra VR Headset","Durable",16.48,624
"PR00312","HD Camera","Eco-friendly",9.7,622.19
"PR00313","Lite Router","Versatile use",11.13,812.07
"PR00314","HD Fitness Tracker","Sleek and modern",17.57,957.14
"PR00315","Budget Headphones","Durable",11.29,26.43
"PR00316","Touch Drone","Innovative technology",5.03,630.89
"PR00317","Touch Camera","Innovative technology",4.57,851.55
"PR00318","Wireless Gaming Chair","Versatile use",1.32,796.15
"PR00319","Eco Smartwatch","Energy efficient",15.13,918.44
"PR00320","Heavy-Duty Smartwatch","Innovative technology",7.14,601.58
"PR00321","Noise-Cancelling Headphones","Eco-friendly",14.21,816.6
"PR00322","AI-Powered Fitness Tracker","Compact design",14.2,558.92
"PR00323","Multi-Function Action Cam","Versatile use",6.26,195.58
"PR00324","Solar Laptop","Eco-friendly",17,388.1
"PR00325","Gaming Keyboard","Versatile use",12.66,961.21
"PR00326","Retro Keyboard","Ergonomic",9.2,447.23
"PR00327","Premium Headphones","High quality",7.75,108.34
"PR00328","Multi-Function Console","High quality",19.51,727.87
"PR00329","Rugged Fitness Tracker","Sleek and modern",15,955.63
"PR00330","Ultra-Light Tablet","Versatile use",9.28,419.42
"PR00331","Gaming Mouse","Sleek and modern",5.96,366.36
"PR00332","Portable Desk Lamp","Ergonomic",11.74,484.47
"PR00333","Foldable eReader","Sleek and modern",3.47,360.1
"PR00334","Foldable Smart Glasses","Ergonomic",9.19,191.54
"PR00335","Retro Headphones","User-friendly",2.92,249.25
"PR00336","Budget eReader","Compact design",8.79,459.37
"PR00337","Vintage Headphones","Sleek and modern",19.74,104.32
"PR00338","Sleek Nintendo","Ergonomic",7.19,869.12
"PR00339","Compact Nintendo","Eco-friendly",11.15,24.93
"PR00340","Smart Power Bank","Energy efficient",18.95,185.9
"PR00341","Vintage Headphones","High quality",14.16,354.12
"PR00342","High-Resolution Laptop","High quality",14.15,86.51
"PR00343","Foldable Desk Lamp","Sleek and modern",0.74,904.69
"PR00344","Rugged Printer","Durable",11.34,298.16
"PR00345","High-Performance eReader","Durable",15.46,11.86
"PR00346","High-Speed Smart Glasses","Energy efficient",19.88,713.43
"PR00347","Touch Drone","Energy efficient",7.96,12.05
"PR00348","Dual-Screen External Hard Drive","Durable",16.3,832.93
"PR00349","Sleek Console","Versatile use",7.88,626.6
"PR00350","Dual-Screen Router","Versatile use",5.28,170.73
"PR00351","Sleek Smart Glasses","Ergonomic",17.75,782.8
"PR00352","SD External Hard Drive","Innovative technology",2.02,272.89
"PR00353","Vintage Smart Glasses","Ergonomic",12.57,391.19
"PR00354","Ultra-Light Smartwatch","Ergonomic",10.18,489.17
"PR00355","Ergonomic Headphones","Innovative technology",1.63,894.41
"PR00356","Compact Smart Glasses","High quality",14.49,464.94
"PR00357","Vintage VR Headset","Durable",5.51,843.52
"PR00358","Wireless Recorder","Energy efficient",1.03,609.12
"PR00359","Solar Smart Speaker","Ergonomic",19.23,679.76
"PR00360","Ultra-Light Recorder","User-friendly",4.42,286.48
"PR00361","HD Earbuds","Durable",2,199.32
"PR00362","Ultra Action Cam","Sleek and modern",17.97,227.83
"PR00363","Solar Action Cam","Versatile use",10.04,97.84
"PR00364","Eco VR Headset","Eco-friendly",4.13,331.78
"PR00365","Rugged VR Headset","Compact design",15.43,966.86
"PR00366","Waterproof Mouse","Versatile use",2.79,558.8
"PR00367","Gaming Nintendo","Energy efficient",2.04,112.77
"PR00368","Budget Action Cam","Compact design",10,631.94
"PR00369","Wireless Printer","Eco-friendly",11.26,695.64
"PR00370","Eco Keyboard","Sleek and modern",5.1,40.24
"PR00371","Touch Drone","Energy efficient",3.28,739.58
"PR00372","High-Resolution Laptop","Sleek and modern",6.54,892.35
"PR00373","High-Performance Nintendo","Eco-friendly",4.85,249.61
"PR00374","Ergonomic Earbuds","Compact design",8.09,219.56
"PR00375","Solar Power Bank","Compact design",17.7,318.51
"PR00376","High-Resolution Laptop","Energy efficient",3.46,745.64
"PR00377","Sleek Nintendo","User-friendly",1.32,62.88
"PR00378","SE Laptop","User-friendly",7.89,365.84
"PR00379","AI-Powered Action Cam","Compact design",17.71,165.1
"PR00380","Heavy-Duty Gaming Chair","Innovative technology",11.37,290.34
"PR00381","Ergonomic Action Cam","High quality",6.64,439.93
"PR00382","Magnetic Monitor","User-friendly",8.94,689.42
"PR00383","Premium Fitness Tracker","User-friendly",17.27,689.04
"PR00384","SE Printer","Versatile use",4.33,62.28
"PR00385","Mini Fitness Tracker","Ergonomic",16.95,935.59
"PR00386","High-Speed Drone","Compact design",13.95,181.27
"PR00387","Mini Smartwatch","Innovative technology",13.17,512.34
"PR00388","HD Tablet","Innovative technology",9.54,458.61
"PR00389","Sleek Router","Eco-friendly",14.39,812.49
"PR00390","High-Performance Mouse","Compact design",19.23,391.46
"PR00391","High-Speed Headphones","Innovative technology",15.22,339
"PR00392","Vintage Console","Compact design",9.46,291.71
"PR00393","Pro Smartwatch","Durable",9.23,482.82
"PR00394","Magnetic Laptop","Energy efficient",12.43,909.9
"PR00395","Advanced Smart Glasses","Durable",5.75,116.61
"PR00396","Waterproof Printer","Ergonomic",16.56,659.73
"PR00397","Foldable Monitor","Energy efficient",0.59,99.61
"PR00398","Dual-Screen Smartphone","Sleek and modern",11.74,262.8
"PR00399","Retro Headphones","Eco-friendly",1.05,203.83
"PR00400","Mini VR Headset","Versatile use",5.94,746.37
"PR00401","Lite Camera","Ergonomic",9.29,744.73
"PR00402","Ultra Laptop","User-friendly",1.69,417.51
"PR00403","AI-Powered Drone","Compact design",13.91,725.04
"PR00404","SD Drone","High quality",13.21,363.16
"PR00405","SD Laptop","Eco-friendly",16.53,148.2
"PR00406","Wireless Desk Lamp","Sleek and modern",2.42,964.82
"PR00407","Multi-Function Action Cam","Durable",19.39,751.3
"PR00408","Eco Camera","High quality",13.45,80.8
"PR00409","Portable Camera","Ergonomic",9.48,923.28
"PR00410","HD Drone","Energy efficient",1.94,997.02
"PR00411","Ultra-Light Router","Compact design",3.83,161.61
"PR00412","Slim Monitor","Energy efficient",8.52,407.88
"PR00413","Wireless Laptop","Durable",16.76,843.59
"PR00414","Compact Desk Lamp","Energy efficient",10.98,865.77
"PR00415","Dual-Screen Earbuds","Versatile use",11.63,938.26
"PR00416","Ultra Nintendo","Sleek and modern",3.96,454.35
"PR00417","Pro Smart Glasses","Innovative technology",14.22,277.81
"PR00418","Ultra-Light Drone","User-friendly",11.91,201.83
"PR00419","Mini VR Headset","Versatile use",3.51,409.93
"PR00420","SE Camera","User-friendly",17.58,775.58
"PR00421","Touch Smart Glasses","Compact design",1.13,538.35
"PR00422","Mini Console","Versatile use",6.82,492.77
"PR00423","Mini Action Cam","Versatile use",4.01,625.07
"PR00424","Premium Router","High quality",16.03,577.64
"PR00425","SE Nintendo","Innovative technology",7.72,36.89
"PR00426","High-Speed Camera","Durable",16.81,926.62
"PR00427","Lite Fitness Tracker","Eco-friendly",7.85,542.27
"PR00428","Wireless Earbuds","Energy efficient",12.7,923.08
"PR00429","Retro Gaming Chair","Durable",13.18,895.32
"PR00430","Waterproof Smart Glasses","Sleek and modern",10,942.47
"PR00431","Magnetic Camera","User-friendly",19.43,68.07
"PR00432","Solar Smart Speaker","Durable",3,873.88
"PR00433","Advanced External Hard Drive","Energy efficient",16.06,690.76
"PR00434","Ergonomic Smartphone","Sleek and modern",3.61,686.03
"PR00435","Eco Smartwatch","High quality",13.05,711.65
"PR00436","High-Resolution VR Headset","Versatile use",2.35,342.2
"PR00437","Lite Smart Glasses","Versatile use",10.67,810.33
"PR00438","SD Smartphone","Durable",6.88,530.85
"PR00439","Dual-Screen Desk Lamp","Energy efficient",9.81,833.26
"PR00440","Touch Smartwatch","Compact design",9.71,956.14
"PR00441","High-Resolution Camera","Ergonomic",8.09,351.44
"PR00442","Smart Recorder","Compact design",11.88,849.59
"PR00443","Wireless Gaming Chair","Durable",1.93,190.81
"PR00444","Eco Smart Speaker","Innovative technology",8.23,787.56
"PR00445","Heavy-Duty Tablet","Eco-friendly",19.27,226.72
"PR00446","Retro Smart Speaker","Eco-friendly",8.2,911.18
"PR00447","Sleek Drone","Sleek and modern",5.26,726.2
"PR00448","Advanced Drone","User-friendly",0.73,969.54
"PR00449","Rugged Keyboard","Innovative technology",7.2,559.14
"PR00450","Vintage Earbuds","Sleek and modern",3.38,337.11
"PR00451","Foldable Nintendo","Compact design",11.26,970.94
"PR00452","Rugged Headphones","User-friendly",1.3,34.53
"PR00453","Slim VR Headset","Innovative technology",10.83,322.72
"PR00454","Sleek Action Cam","Sleek and modern",17.32,899.11
"PR00455","High-Performance Earbuds","Durable",6.09,205.67
"PR00456","Magnetic Laptop","Ergonomic",9.93,634.84
"PR00457","Dual-Screen Monitor","Compact design",15.1,191.71
"PR00458","Premium Laptop","Eco-friendly",15.89,779.05
"PR00459","Lite Smart Speaker","High quality",19.37,822.49
"PR00460","Advanced Drone","Eco-friendly",8.74,577.14
"PR00461","Waterproof Laptop","High quality",16.76,656.2
"PR00462","Gaming Action Cam","Compact design",16.92,14.15
"PR00463","Slim External Hard Drive","Compact design",10.97,40.13
