product_id,product_name,product_description,weight,price,promotion_id,dimension_id,supplier_id
PR00045,Gaming Drone,User-friendly,19.71,718.54,PM00814,DM00111,SP00047
PR00046,Compact Fitness Tracker,Innovative technology,7.04,977.4,PM00531,DM00119,SP00760
PR00047,Waterproof Camera,Versatile use,12.81,117.66,PM00523,DM00720,SP00875
PR00048,Ultra-Light Smart Glasses,Durable,13.75,366.93,PM00290,DM00098,SP00309
PR00049,Rugged Power Bank,Ergonomic,17.23,90.17,PM00555,DM00383,SP00236
PR00050,Budget Monitor,Compact design,18.89,641.26,PM00507,DM00311,SP00276
PR00051,Foldable Mouse,User-friendly,14.25,758.63,PM00268,DM00903,SP00488
PR00052,SE Power Bank,Innovative technology,7.33,673.81,PM00554,DM00204,SP00012
PR00053,Dual-Screen Fitness Tracker,Versatile use,16.55,700.76,PM00694,DM00600,SP00051
PR00054,Magnetic Printer,Innovative technology,7.3,104.57,PM00646,DM00200,SP00306
PR00055,AI-Powered Smart Speaker,Eco-friendly,19.6,538.71,PM00505,DM00618,SP00862
PR00056,Portable Smart Speaker,Compact design,14.95,682.91,PM00624,DM00480,SP00918
PR00057,Vintage eReader,Durable,10.73,197.29,PM00678,DM00178,SP00970
PR00058,Rugged eReader,User-friendly,3.82,150.24,PM00057,DM00531,SP00853
PR00059,Eco Tablet,High quality,16.53,638.86,PM00824,DM00555,SP00080
PR00060,Wireless External Hard Drive,User-friendly,8.91,679.94,PM00465,DM00018,SP00585
PR00061,High-Speed Action Cam,Durable,18.2,872.15,PM00343,DM00109,SP00590
PR00062,Multi-Function Monitor,User-friendly,6.16,275.34,PM00506,DM00326,SP00756
PR00063,Noise-Cancelling Console,Ergonomic,18.27,443.39,PM00916,DM00249,SP00629
PR00064,Touch Keyboard,User-friendly,3.75,255.79,PM00097,DM00144,SP00622
PR00065,Foldable Tablet,Energy efficient,19.95,784.39,PM00755,DM00611,SP00967
PR00066,Touch Smart Speaker,Compact design,13.43,664.03,PM00897,DM00887,SP00277
PR00067,Portable Tablet,Innovative technology,12.45,803.63,PM00522,DM00803,SP00335
PR00068,AI-Powered Nintendo,Sleek and modern,9.17,646.55,PM00794,DM00729,SP00069
PR00069,Ultra-Light Smart Speaker,Sleek and modern,10.71,495.16,PM00773,DM00830,SP00228
PR00070,Compact Monitor,Durable,19.71,407.7,PM00865,DM00466,SP00992
PR00071,Dual-Screen Smart Glasses,Energy efficient,12.22,591.49,PM00223,DM00297,SP00668
PR00072,Premium External Hard Drive,Eco-friendly,0.54,238.46,PM00551,DM00040,SP00164
PR00073,Advanced Monitor,Compact design,17.22,343.78,PM00527,DM00520,SP00829
PR00074,High-Resolution Console,Eco-friendly,14.94,581.15,PM00091,DM00899,SP00760
PR00075,HD Console,Energy efficient,16.84,259.06,PM00646,DM00427,SP00796
PR00076,High-Resolution Gaming Chair,Innovative technology,4.51,485.75,PM00666,DM00391,SP00395
PR00077,Compact VR Headset,Versatile use,12.63,394.45,PM00243,DM00904,SP00792
PR00078,Dual-Screen VR Headset,Sleek and modern,8.05,833.03,PM00729,DM00282,SP00620
PR00079,Budget Power Bank,Eco-friendly,13.76,27.08,PM00980,DM00560,SP00889
PR00080,High-Speed Laptop,Innovative technology,3.19,271.03,PM00781,DM00627,SP00550
PR00081,Vintage Power Bank,High quality,16.79,591.11,PM00566,DM00399,SP00877
PR00082,Multi-Function Earbuds,User-friendly,14.51,456.52,PM00850,DM00272,SP00296
PR00083,High-Resolution VR Headset,User-friendly,1.67,888.83,PM00127,DM00855,SP00394
PR00084,Rugged Keyboard,Durable,18.29,988.54,PM00569,DM00745,SP00631
PR00085,Eco Drone,Innovative technology,18.15,704.24,PM00847,DM00968,SP00686
PR00086,Compact Gaming Chair,Compact design,13.91,108.59,PM00121,DM00576,SP00619
PR00087,High-Speed Printer,Energy efficient,3.95,929.01,PM00177,DM00522,SP00222
PR00088,Magnetic Headphones,Innovative technology,4.03,628.23,PM00268,DM00380,SP00836
PR00089,Compact Camera,Eco-friendly,11.97,500.58,PM00603,DM00896,SP00327
PR00090,Premium Drone,User-friendly,18.96,662.74,PM00058,DM00128,SP00596
PR00091,Touch Nintendo,User-friendly,19.21,34.93,PM00383,DM00334,SP00052
PR00092,Heavy-Duty Earbuds,User-friendly,8.98,333.49,PM00686,DM00175,SP00528
PR00093,Noise-Cancelling Fitness Tracker,Versatile use,12.05,311.33,PM00767,DM00395,SP00424
PR00094,Vintage Earbuds,Eco-friendly,11.63,246.56,PM00020,DM00767,SP00019
PR00095,Premium Laptop,Energy efficient,5.36,291.64,PM00261,DM00077,SP00234
PR00096,Smart Tablet,Versatile use,9.87,81.8,PM00899,DM00785,SP00041
PR00097,Portable Smart Glasses,Durable,7.14,836.06,PM00154,DM00725,SP00933
PR00098,High-Resolution Gaming Chair,User-friendly,8.58,87.37,PM00819,DM00854,SP00500
PR00099,Compact Headphones,Sleek and modern,9.84,735.61,PM00975,DM00432,SP00109
PR00100,Budget Headphones,Innovative technology,10.88,401.92,PM00809,DM00050,SP00421
PR00101,Budget Laptop,Durable,3.53,954.57,PM00004,DM00821,SP00432
PR00102,Ultra Smart Glasses,Compact design,3.45,895.91,PM00222,DM00592,SP00567
PR00103,Budget Action Cam,Ergonomic,10.06,391.46,PM00678,DM00827,SP00908
PR00104,Ultra Mouse,Energy efficient,17.57,526.2,PM00932,DM00865,SP00704
PR00105,Heavy-Duty Earbuds,Energy efficient,9.61,797.11,PM00381,DM00753,SP00296
PR00106,Retro Drone,User-friendly,14.95,939.52,PM00866,DM00062,SP00958
PR00107,Noise-Cancelling VR Headset,Compact design,8.56,372.73,PM00081,DM00505,SP00785
PR00108,High-Resolution Nintendo,Durable,10.86,280.77,PM00250,DM00179,SP00146
PR00109,Premium Desk Lamp,Compact design,13.19,291.67,PM00663,DM00426,SP00461
PR00110,Touch Smart Glasses,User-friendly,16.64,721.39,PM00084,DM00703,SP00619
PR00111,Gaming Mouse,Eco-friendly,9.7,662.4,PM00093,DM00858,SP00935
PR00112,High-Resolution Mouse,User-friendly,2.66,554.01,PM00767,DM00415,SP00886
PR00113,Ergonomic Monitor,Versatile use,6.72,209.62,PM00371,DM00223,SP00260
PR00114,Touch Monitor,Innovative technology,17.29,645.15,PM00948,DM00932,SP00942
PR00115,Noise-Cancelling VR Headset,High quality,6.68,859.23,PM00046,DM00978,SP00219
PR00116,Multi-Function Fitness Tracker,Eco-friendly,11.89,585.56,PM00408,DM00783,SP00884
PR00117,Dual-Screen Console,Innovative technology,6.14,642.48,PM00090,DM00013,SP00160
PR00118,Lite Action Cam,High quality,14.01,783.82,PM00378,DM00879,SP00717
PR00119,SD Action Cam,Eco-friendly,6.12,448.72,PM00646,DM00021,SP00177
PR00120,HD Action Cam,Sleek and modern,6.82,501.95,PM00284,DM00902,SP00639
PR00121,Pro Router,Versatile use,6.39,240.18,PM00287,DM00165,SP00115
PR00122,Rugged Drone,Compact design,4.73,835.27,PM00520,DM00834,SP00874
PR00123,Mini Desk Lamp,User-friendly,5.32,164.88,PM00511,DM00328,SP00822
PR00124,Retro Console,Innovative technology,6.2,691.12,PM00896,DM00630,SP00078
PR00125,Ultra Recorder,Durable,4.13,16.51,PM00455,DM00760,SP00623
PR00126,High-Speed Laptop,Durable,17.07,501.23,PM00725,DM00871,SP00580
PR00127,Waterproof Monitor,Eco-friendly,12.29,721.08,PM00886,DM00751,SP00162
PR00128,Ultra-Light External Hard Drive,Compact design,17.32,460.54,PM00802,DM00845,SP00239
PR00129,Lite Action Cam,Eco-friendly,10.77,371.35,PM00071,DM00226,SP00519
PR00130,Lite Headphones,Innovative technology,18.83,109.85,PM00351,DM00958,SP00424
PR00131,Ultra-Light Smart Glasses,Versatile use,18.25,278.62,PM00866,DM00587,SP00943
PR00132,Advanced Printer,Versatile use,9.77,265.72,PM00395,DM00182,SP00856
PR00133,Ergonomic Drone,High quality,3.64,841.79,PM00567,DM00726,SP00998
PR00134,AI-Powered Smart Speaker,Compact design,4.88,402.2,PM00331,DM00985,SP00480
PR00135,Ergonomic External Hard Drive,Innovative technology,15.17,990.52,PM00259,DM00371,SP00738
PR00136,HD Nintendo,Durable,18.63,827.02,PM00930,DM00539,SP00701
PR00137,Solar Smart Speaker,Compact design,5.57,493.15,PM00647,DM00293,SP00355
PR00138,AI-Powered Printer,Eco-friendly,1.68,787.76,PM00882,DM00304,SP00769
PR00139,Waterproof Mouse,User-friendly,12.9,580.99,PM00052,DM00702,SP00115
PR00140,Compact Smart Speaker,High quality,9.02,217.94,PM00645,DM00956,SP00603
PR00141,Ultra-Light Action Cam,Compact design,1.13,807.65,PM00013,DM00852,SP00447
PR00142,SE Desk Lamp,Eco-friendly,14.67,323.75,PM00004,DM00823,SP00233
PR00143,SD Gaming Chair,Innovative technology,4.54,947.61,PM00269,DM00359,SP00288
PR00144,Foldable External Hard Drive,Versatile use,2.89,959.23,PM00860,DM00499,SP00389
PR00145,High-Resolution Recorder,Compact design,18.01,597.27,PM00819,DM00256,SP00948
PR00146,Ergonomic VR Headset,Compact design,1.66,88.11,PM00453,DM00066,SP00678
PR00147,HD External Hard Drive,Versatile use,16.34,478.18,PM00934,DM00740,SP00380
PR00148,Rugged Laptop,Versatile use,13.91,575.46,PM00226,DM00442,SP00598
PR00149,Solar External Hard Drive,Sleek and modern,10.81,543.15,PM00917,DM00154,SP00042
PR00150,Waterproof Recorder,Versatile use,18.98,613.27,PM00666,DM00124,SP00259
PR00151,Slim Camera,Versatile use,9.55,575.74,PM00708,DM00453,SP00098
PR00152,Foldable Console,Versatile use,5.13,314.86,PM00869,DM00313,SP00721
PR00153,Slim Printer,Innovative technology,6.34,642.42,PM00292,DM00786,SP00338
PR00154,Eco Console,Durable,5.3,94.11,PM00726,DM00003,SP00991
PR00155,Pro Tablet,Durable,9.53,246.7,PM00789,DM00366,SP00440
PR00156,Smart eReader,Durable,3.88,353.5,PM00048,DM00894,SP00874
PR00157,Noise-Cancelling Camera,Energy efficient,5.21,405.11,PM00903,DM00605,SP00407
PR00158,High-Speed Laptop,User-friendly,18.66,996.45,PM00837,DM00538,SP00459
PR00159,Budget Tablet,Innovative technology,5.85,52.1,PM00571,DM00652,SP00794
PR00160,Ultra-Light Smart Speaker,Versatile use,5.17,461.73,PM00082,DM00100,SP00288
PR00161,Advanced Laptop,Durable,19.24,421.62,PM00523,DM00209,SP00560
PR00162,Ultra-Light Gaming Chair,Durable,4.42,417.6,PM00908,DM00265,SP00372
PR00163,Compact Gaming Chair,Energy efficient,15.96,311.91,PM00621,DM00446,SP00647
PR00164,Retro Smartwatch,Durable,4.61,575.46,PM00708,DM00671,SP00717
PR00165,High-Resolution Laptop,Versatile use,19.92,794.42,PM00067,DM00088,SP00171
PR00166,Sleek Nintendo,Ergonomic,5.93,130.03,PM00818,DM00278,SP00856
PR00167,Gaming Camera,Versatile use,16.46,485.1,PM00538,DM00979,SP00950
PR00168,High-Resolution Printer,User-friendly,5.86,776,PM00773,DM00238,SP00894
PR00169,Gaming eReader,Versatile use,8.79,179.78,PM00331,DM00493,SP00101
PR00170,Heavy-Duty Earbuds,Ergonomic,14.69,766.41,PM00630,DM00635,SP00408
PR00171,Ergonomic Monitor,Ergonomic,13.03,304.21,PM00342,DM00303,SP00082
PR00172,High-Performance External Hard Drive,Versatile use,12.56,370.23,PM00112,DM00602,SP00454
PR00173,Noise-Cancelling Earbuds,High quality,12.07,373.21,PM00025,DM00857,SP00555
PR00174,Ergonomic Keyboard,Compact design,13.81,528.42,PM00534,DM00032,SP00248
PR00175,Retro Monitor,Compact design,18.01,147.61,PM00156,DM00078,SP00264
PR00176,Ultra Camera,Durable,5.65,313.7,PM00739,DM00950,SP00327
PR00177,Retro Fitness Tracker,Sleek and modern,7.69,840.78,PM00469,DM00031,SP00003
PR00178,Ultra Smartphone,Durable,15.43,757.32,PM00570,DM00650,SP00419
PR00179,High-Speed Power Bank,Eco-friendly,19.54,597.96,PM00048,DM00244,SP00227
PR00180,Ultra Mouse,Eco-friendly,0.52,58.09,PM00051,DM00853,SP00457
PR00181,Heavy-Duty Laptop,Compact design,5.1,675.65,PM00363,DM00914,SP00649
PR00182,Compact Smart Glasses,Innovative technology,17.47,417.94,PM00271,DM00034,SP00320
PR00183,Budget Console,User-friendly,9.05,67.2,PM00094,DM00907,SP00912
PR00184,Ultra VR Headset,User-friendly,11.79,736.16,PM00532,DM00099,SP00872
PR00185,High-Performance Fitness Tracker,High quality,9.28,118.85,PM00582,DM00628,SP00275
PR00186,Mini Mouse,High quality,7.18,954.69,PM00169,DM00839,SP00566
PR00187,Compact Desk Lamp,Sleek and modern,8.56,299.89,PM00910,DM00807,SP00983
PR00188,Compact Monitor,Durable,13.81,189.99,PM00602,DM00456,SP00496
PR00189,Waterproof VR Headset,Ergonomic,19.26,896.56,PM00038,DM00580,SP00207
PR00190,Ultra-Light VR Headset,Versatile use,2.66,140.33,PM00778,DM00861,SP00960
PR00191,Ultra-Light VR Headset,Eco-friendly,5.52,361.5,PM00106,DM00986,SP00984
PR00192,Mini Recorder,High quality,5.64,462.35,PM00589,DM00738,SP00873
PR00193,SD Power Bank,Innovative technology,14.47,875.28,PM00269,DM00782,SP00580
PR00194,Magnetic eReader,High quality,11.1,482.3,PM00043,DM00891,SP00112
PR00195,Retro Smartwatch,Energy efficient,1.46,694.28,PM00426,DM00663,SP00042
PR00196,Noise-Cancelling Camera,User-friendly,1.65,778.03,PM00551,DM00672,SP00883
PR00197,Noise-Cancelling Keyboard,Energy efficient,3.17,434.72,PM00570,DM00323,SP00016
PR00198,High-Resolution Drone,Ergonomic,9.94,459.92,PM00446,DM00396,SP00736
PR00199,Magnetic Headphones,User-friendly,15.99,248.35,PM00569,DM00461,SP00105
PR00200,High-Resolution Tablet,Energy efficient,9.97,290.15,PM00540,DM00525,SP00864
PR00201,Advanced eReader,Innovative technology,3.49,913.56,PM00159,DM00006,SP00370
PR00202,High-Performance Recorder,Ergonomic,8.11,970.91,PM00931,DM00833,SP00923
PR00203,Noise-Cancelling Keyboard,Energy efficient,10.46,728.33,PM00041,DM00271,SP00863
PR00204,Retro Desk Lamp,Ergonomic,2.41,377.31,PM00225,DM00152,SP00042
PR00205,Rugged Tablet,Durable,4.16,495.42,PM00066,DM00876,SP00162
PR00206,Ergonomic Console,Durable,17.63,812.7,PM00551,DM00906,SP00768
PR00207,Multi-Function Fitness Tracker,User-friendly,7.42,563.48,PM00747,DM00081,SP00639
PR00208,Sleek Earbuds,Versatile use,1.84,773.97,PM00231,DM00468,SP00058
PR00209,Budget Earbuds,Eco-friendly,3.46,274.83,PM00219,DM00369,SP00926
PR00210,Portable Earbuds,Compact design,1.86,336.76,PM00286,DM00594,SP00573
PR00211,SD Fitness Tracker,Durable,9.82,969.25,PM00383,DM00658,SP00754
PR00212,Wireless Desk Lamp,Energy efficient,5.96,952.27,PM00400,DM00789,SP00429
PR00213,Advanced Drone,Eco-friendly,11.03,724.29,PM00412,DM00096,SP00759
PR00214,Noise-Cancelling eReader,High quality,18.82,132.64,PM00778,DM00112,SP00457
PR00215,Advanced VR Headset,Eco-friendly,7.37,819.54,PM00136,DM00247,SP00091
PR00216,Smart Smart Speaker,Durable,11.08,182.45,PM00244,DM00411,SP00237
PR00217,Touch Mouse,Durable,0.97,168.03,PM00721,DM00261,SP00977
PR00218,Noise-Cancelling Recorder,Ergonomic,12.25,879.64,PM00847,DM00266,SP00636
PR00219,Solar Gaming Chair,Eco-friendly,7.01,69.58,PM00629,DM00963,SP00822
PR00220,Rugged Gaming Chair,Compact design,8.58,69.08,PM00197,DM00568,SP00955
PR00221,SE Desk Lamp,High quality,0.88,975.67,PM00192,DM00532,SP00951
PR00222,Waterproof Smartwatch,Eco-friendly,12.33,740.67,PM00493,DM00199,SP00802
PR00223,Waterproof Printer,Ergonomic,4.76,532.84,PM00530,DM00135,SP00601
PR00224,AI-Powered Smart Speaker,Sleek and modern,14.87,582.48,PM00962,DM00669,SP00315
PR00225,High-Performance Action Cam,High quality,13.35,299.45,PM00564,DM00711,SP00853
PR00226,Budget External Hard Drive,User-friendly,15.33,772.49,PM00795,DM00656,SP00017
PR00227,Vintage Headphones,User-friendly,5.97,477.15,PM00748,DM00320,SP00784
PR00228,Touch Smartphone,Versatile use,18.34,784.9,PM00125,DM00895,SP00331
PR00229,Waterproof External Hard Drive,Durable,2.82,322.16,PM00143,DM00422,SP00268
PR00230,Touch Desk Lamp,User-friendly,4.76,260.32,PM00495,DM00790,SP00274
PR00231,Compact Printer,Eco-friendly,15.63,849.45,PM00692,DM00235,SP00645
PR00232,HD Power Bank,Innovative technology,9.03,254.39,PM00441,DM00363,SP00123
PR00233,Retro Monitor,Durable,1.92,763.26,PM00888,DM00307,SP00368
PR00234,Compact Recorder,Ergonomic,13.38,794.34,PM00341,DM00634,SP00426
PR00235,Smart Keyboard,Ergonomic,3.59,988.99,PM00624,DM00239,SP00904
PR00236,Smart Keyboard,Ergonomic,16.01,814.7,PM00678,DM00962,SP00981
PR00237,Lite Camera,User-friendly,12.86,98.1,PM00234,DM00167,SP00628
PR00238,Gaming Smart Speaker,Versatile use,7.71,141.38,PM00211,DM00516,SP00473
PR00239,Advanced Printer,Energy efficient,1.1,373.92,PM00749,DM00988,SP00325
PR00240,Foldable Laptop,Innovative technology,14.98,117.9,PM00648,DM00770,SP00183
PR00241,Smart Smart Speaker,Energy efficient,14.59,692.38,PM00179,DM00756,SP00845
PR00242,AI-Powered Drone,Ergonomic,6.19,149.85,PM00844,DM00312,SP00332
PR00243,Mini External Hard Drive,Eco-friendly,12.46,952.08,PM00319,DM00225,SP00552
PR00244,Ultra Nintendo,Innovative technology,7.64,499.16,PM00153,DM00994,SP00446
PR00245,Foldable Smartwatch,Versatile use,15.54,162.82,PM00656,DM00837,SP00583
PR00246,Sleek Drone,Compact design,16.96,496.68,PM00573,DM00390,SP00033
PR00247,Waterproof Desk Lamp,Versatile use,16.93,513.03,PM00692,DM00120,SP00886
PR00248,Magnetic Laptop,Durable,1.08,990.13,PM00835,DM00820,SP00529
PR00249,High-Speed Smartwatch,High quality,2.38,353.3,PM00304,DM00104,SP00021
PR00250,Foldable Headphones,Versatile use,11.96,707.52,PM00796,DM00460,SP00004
PR00251,Compact Nintendo,Versatile use,9.14,67.22,PM00973,DM00072,SP00141
PR00252,Budget Fitness Tracker,Energy efficient,16.54,445.61,PM00593,DM00065,SP00435
PR00253,Advanced VR Headset,Versatile use,1.11,150,PM00314,DM00863,SP00593
PR00254,Ultra Recorder,Energy efficient,7.62,305.78,PM00023,DM00496,SP00503
PR00255,Dual-Screen Smart Glasses,High quality,17.46,128.94,PM00618,DM00121,SP00330
PR00256,Ultra-Light Earbuds,Innovative technology,14.81,303.34,PM00087,DM00053,SP00845
PR00257,SE Gaming Chair,Eco-friendly,18.77,45.99,PM00156,DM00965,SP00721
PR00258,Retro Smartwatch,Compact design,5.18,274.99,PM00294,DM00384,SP00481
PR00259,Ergonomic Smart Glasses,Durable,18.26,597.04,PM00100,DM00537,SP00447
PR00260,Dual-Screen Power Bank,User-friendly,11.58,145.58,PM00015,DM00381,SP00934
PR00261,Magnetic Headphones,Eco-friendly,10.03,569.03,PM00627,DM00660,SP00420
PR00262,High-Speed VR Headset,Eco-friendly,10.33,573.67,PM00398,DM00937,SP00185
PR00263,HD Mouse,Sleek and modern,8.91,769.67,PM00580,DM00155,SP00251
PR00264,Foldable Power Bank,Eco-friendly,10.03,10.71,PM00339,DM00514,SP00452
PR00265,Advanced Console,Compact design,8.24,896.57,PM00873,DM00806,SP00543
PR00266,Eco Mouse,Ergonomic,2.47,129.9,PM00827,DM00877,SP00567
PR00267,Magnetic Router,Eco-friendly,16.9,35.72,PM00281,DM00070,SP00566
PR00268,Eco Headphones,Durable,8.99,840.9,PM00336,DM00151,SP00025
PR00269,HD Smart Speaker,Energy efficient,5.73,345.03,PM00702,DM00332,SP00948
PR00270,Waterproof Console,Compact design,4.55,563.71,PM00646,DM00923,SP00130
PR00271,Portable Mouse,Sleek and modern,4.33,142.31,PM00186,DM00285,SP00291
PR00272,Lite Smart Speaker,Eco-friendly,7.51,713.32,PM00380,DM00787,SP00944
PR00273,Ultra-Light Smart Glasses,Durable,13.49,566.49,PM00800,DM00661,SP00953
PR00274,AI-Powered Smart Speaker,Innovative technology,17.02,284.92,PM00474,DM00241,SP00210
PR00275,High-Resolution Tablet,Durable,4.32,838.95,PM00508,DM00570,SP00010
PR00276,Portable Mouse,Versatile use,6.07,921.46,PM00664,DM00122,SP00338
PR00277,Portable Gaming Chair,Ergonomic,8.94,650.52,PM00196,DM00890,SP00987
PR00278,Ultra-Light External Hard Drive,Energy efficient,10,389.23,PM00606,DM00448,SP00788
PR00279,Magnetic Laptop,Energy efficient,15.27,472.56,PM00321,DM00971,SP00815
PR00280,Ultra Recorder,Compact design,11.05,724.3,PM00643,DM00632,SP00495
PR00281,Slim Power Bank,Eco-friendly,19.34,365.66,PM00648,DM00153,SP00510
PR00282,Rugged Smart Speaker,Eco-friendly,8.78,510.4,PM00886,DM00572,SP00851
PR00283,Foldable eReader,Eco-friendly,3.82,523.51,PM00690,DM00898,SP00700
PR00284,Smart Headphones,User-friendly,15.9,687.22,PM00842,DM00957,SP00291
PR00285,Lite Router,Energy efficient,4.1,805.24,PM00449,DM00966,SP00895
PR00286,Premium Printer,User-friendly,9.92,336.15,PM00325,DM00533,SP00017
PR00287,SE Router,Versatile use,5.77,820,PM00611,DM00106,SP00717
PR00288,Ultra Tablet,Durable,11.45,894.32,PM00811,DM00298,SP00129
PR00289,Magnetic Drone,Innovative technology,19.48,656.67,PM00540,DM00981,SP00149
PR00290,Ultra-Light Smartwatch,Versatile use,4.14,309.33,PM00616,DM00664,SP00586
PR00291,SD eReader,Sleek and modern,14.68,869.3,PM00058,DM00043,SP00850
PR00292,Rugged Gaming Chair,Energy efficient,7.35,997.9,PM00436,DM00188,SP00523
PR00293,Premium Action Cam,Durable,13.38,524.96,PM00677,DM00870,SP00077
PR00294,High-Resolution Console,Sleek and modern,5.55,441.4,PM00625,DM00012,SP00439
PR00295,Compact Desk Lamp,Innovative technology,4.41,929.72,PM00531,DM00829,SP00460
PR00296,Portable VR Headset,Eco-friendly,13.81,554.68,PM00524,DM00237,SP00488
PR00297,Pro Power Bank,High quality,2.24,166.63,PM00880,DM00176,SP00716
PR00298,Heavy-Duty Action Cam,High quality,17.57,274.91,PM00671,DM00243,SP00264
PR00299,Magnetic Printer,Durable,14.37,611.72,PM00493,DM00095,SP00013
PR00300,Foldable Keyboard,Durable,6.79,770.55,PM00547,DM00434,SP00188
PR00301,Ultra-Light Tablet,Ergonomic,19.49,44.5,PM00312,DM00308,SP00662
PR00302,Waterproof Nintendo,Energy efficient,0.76,579.16,PM00906,DM00511,SP00349
PR00303,Pro VR Headset,Sleek and modern,5.84,683.28,PM00265,DM00028,SP00737
PR00304,Ergonomic Gaming Chair,Compact design,4.38,740.02,PM00723,DM00775,SP00874
PR00305,Portable Tablet,High quality,5.87,18.69,PM00246,DM00690,SP00194
PR00306,Budget Mouse,High quality,3.91,764.51,PM00370,DM00819,SP00836
PR00307,Slim Mouse,Sleek and modern,17.66,393.89,PM00017,DM00736,SP00772
PR00308,Wireless Desk Lamp,Compact design,17.68,228.77,PM00132,DM00608,SP00012
PR00309,Slim Smart Speaker,Versatile use,19.38,536.03,PM00807,DM00569,SP00958
PR00310,Solar Tablet,Durable,11.36,797.6,PM00400,DM00536,SP00660
PR00311,AI-Powered Printer,Energy efficient,0.75,696.35,PM00702,DM00648,SP00394
PR00312,Foldable VR Headset,Eco-friendly,18.85,125.87,PM00417,DM00758,SP00618
PR00313,Foldable Monitor,Energy efficient,10.31,283.17,PM00733,DM00145,SP00326
PR00314,Ergonomic Drone,Versatile use,13.29,565.33,PM00859,DM00772,SP00576
